web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       |       871    0.003    0.000    0.041    0.000 selector_events.py:338(add_writer)
web       |       871    0.001    0.000    0.034    0.000 selector_events.py:343(remove_writer)
web       |     10955    0.009    0.000    0.010    0.000 selector_events.py:592(_process_events)
web       |        22    0.000    0.000    0.000    0.000 selector_events.py:687(is_closing)
web       |        22    0.000    0.000    0.002    0.000 selector_events.py:810(_read_ready)
web       |        22    0.000    0.000    0.002    0.000 selector_events.py:850(_read_ready__data_received)
web       |        22    0.000    0.000    0.002    0.000 selector_events.py:896(write)
web       |      1743    0.003    0.000    0.009    0.000 selectors.py:181(get_key)
web       |      3486    0.002    0.000    0.003    0.000 selectors.py:21(_fileobj_to_fd)
web       |      3486    0.002    0.000    0.005    0.000 selectors.py:216(_fileobj_lookup)
web       |         1    0.000    0.000    0.000    0.000 selectors.py:248(unregister)
web       |      1743    0.001    0.000    0.001    0.000 selectors.py:273(get_map)
web       |       927    0.000    0.000    0.000    0.000 selectors.py:276(_key_from_fd)
web       |         1    0.000    0.000    0.000    0.000 selectors.py:366(unregister)
web       |      1742    0.011    0.000    0.033    0.000 selectors.py:376(modify)
web       |     10955    0.078    0.000   57.612    0.005 selectors.py:452(select)
web       |      1743    0.002    0.000    0.005    0.000 selectors.py:70(__getitem__)
web       |         1    0.000    0.000    0.000    0.000 server.py:110(<lambda>)
web       |         1    0.000    0.000    0.000    0.000 server.py:188(protocol_disconnected)
web       |       861    0.006    0.000    0.150    0.000 server.py:224(handle_reply)
web       |       858    0.000    0.000    0.000    0.000 server.py:242(check_headers_type)
web       |        59    0.001    0.000    0.006    0.000 server.py:262(application_checker)
web       |        29    0.000    0.000    0.006    0.000 server.py:327(timeout_checker)
web       |         1    0.000    0.000    0.000    0.000 server.py:336(log_action)
web       |       861    0.010    0.000    0.173    0.000 sessions.py:174(send)
web       |        18    0.000    0.000    0.004    0.000 sessions.py:254(__call__)
web       |        18    0.000    0.000    0.004    0.000 sessions.py:31(__call__)
web       |         1    0.000    0.000    0.000    0.000 socket.py:110(readline)
web       |         1    0.000    0.000    0.000    0.000 socket.py:120(get_pos)
web       |         1    0.000    0.000    0.000    0.000 socket.py:132(purge)
web       |         2    0.000    0.000    0.000    0.000 socket.py:38(unread_bytes)
web       |         2    0.000    0.000    0.000    0.000 socket.py:47(_read_from_socket)
web       |         1    0.000    0.000    0.000    0.000 socket.py:493(_real_close)
web       |         1    0.000    0.000    0.000    0.000 socket.py:497(close)
web       |         1    0.000    0.000    0.000    0.000 socket.py:94(can_read)
web       |        22    0.000    0.000    0.000    0.000 streams.py:188(_drain_helper)
web       |        22    0.000    0.000    0.000    0.000 streams.py:233(_stream_reader)
web       |        22    0.000    0.000    0.001    0.000 streams.py:283(data_received)
web       |        22    0.000    0.000    0.002    0.000 streams.py:343(writelines)
web       |        22    0.000    0.000    0.000    0.000 streams.py:364(drain)
web       |        22    0.000    0.000    0.000    0.000 streams.py:434(exception)
web       |        22    0.000    0.000    0.000    0.000 streams.py:446(_wakeup_waiter)
web       |        22    0.000    0.000    0.000    0.000 streams.py:458(_maybe_resume_transport)
web       |        22    0.000    0.000    0.000    0.000 streams.py:471(feed_data)
web       |        88    0.000    0.000    0.000    0.000 streams.py:493(_wait_for_data)
web       |        44    0.000    0.000    0.001    0.000 streams.py:521(readline)
web       |        44    0.000    0.000    0.000    0.000 streams.py:552(readuntil)
web       |        44    0.000    0.000    0.000    0.000 streams.py:643(read)
web       |        22    0.000    0.000    0.000    0.000 tasks.py:35(current_task)
web       |         2    0.000    0.000    0.000    0.000 tasks.py:373(wait)
web       |         3    0.000    0.000    0.000    0.000 tasks.py:405(<genexpr>)
web       |         1    0.000    0.000    0.000    0.000 tasks.py:411(<setcomp>)
web       |         2    0.000    0.000    0.000    0.000 tasks.py:497(_wait)
web       |         1    0.000    0.000    0.000    0.000 tasks.py:509(_on_completion)
web       |     10324    0.046    0.000    0.229    0.000 tasks.py:633(sleep)
web       |         3    0.000    0.000    0.000    0.000 tasks.py:657(ensure_future)
web       |         1    0.000    0.000    0.000    0.000 tcp.py:153(_closeSocket)
web       |        34    0.000    0.000    0.008    0.000 tcp.py:232(doRead)
web       |        34    0.000    0.000    0.007    0.000 tcp.py:250(_dataReceived)
web       |       871    0.004    0.000    0.066    0.000 tcp.py:266(writeSomeData)
web       |         1    0.000    0.000    0.001    0.001 tcp.py:311(connectionLost)
web       |       905    0.001    0.000    0.001    0.000 tcp.py:330(logPrefix)
web       |      3642    0.005    0.000    0.006    0.000 termui.py:449(_interpret_color)
web       |      3642    0.011    0.000    0.020    0.000 termui.py:462(style)
web       |         1    0.000    0.000    0.000    0.000 threading.py:1093(name)
web       |         1    0.000    0.000    0.000    0.000 threading.py:1358(current_thread)
web       |        22    0.000    0.000    0.002    0.000 transports.py:116(writelines)
web       |       978    0.000    0.000    0.000    0.000 tx.py:117(__get__)
web       |        18    0.000    0.000    0.001    0.000 tx.py:345(create_future)
web       |        17    0.000    0.000    0.000    0.000 tx.py:392(get_seconds)
web       |        10    0.000    0.000    0.001    0.000 tx.py:395(create_delayed_call)
web       |        19    0.000    0.000    0.000    0.000 tx.py:407(resolve)
web       |        18    0.000    0.000    0.000    0.000 tx.py:435(add_callbacks)
web       |        27    0.000    0.000    0.000    0.000 tx.py:481(_get_loop)
web       |       978    0.000    0.000    0.000    0.000 tx.py:76(_no_op)
web       |        11    0.000    0.000    0.000    0.000 typing.py:1375(cast)
web       |         1    0.000    0.000    0.000    0.000 utf8validator.py:111(reset)
web       |         1    0.000    0.000    0.000    0.000 utf8validator.py:119(validate)
web       |       871    0.001    0.000    0.061    0.000 util.py:755(untilConcludes)
web       |        18    0.000    0.000    0.001    0.000 util.py:835(fire)
